,Phase,mean_GSR,diff_from_baseline,id,group
0,baseline,18211.10534771632,0.0,19,experiment
1,experiment,23054.360147302275,4843.254799585957,19,experiment
2,stress,26272.94244485673,3218.5822975544543,19,experiment
3,baseline,8812.786492555935,0.0,4,experiment
4,experiment,10889.996138347884,2077.209645791949,4,experiment
5,stress,9184.687923849988,-1705.3082144978962,4,experiment
6,baseline,11324.513304226048,0.0,6,experiment
7,experiment,13530.548117430226,2206.034813204178,6,experiment
8,stress,14436.430452410581,905.8823349803552,6,experiment
9,baseline,12672.042045454546,0.0,11,experiment
10,experiment,15775.936500210908,3103.8944547563624,11,experiment
11,stress,14497.615645148127,-1278.3208550627805,11,experiment
12,baseline,9842.680606111911,0.0,3,control
13,control,18178.6640927878,8335.983486675888,3,control
14,stress,13672.799885438402,-4505.8642073493975,3,control
15,baseline,14674.550640279394,0.0,9,control
16,control,24960.1602897474,10285.609649468006,9,control
17,stress,25631.50462378295,671.344334035548,9,control
18,baseline,27678.756127960118,0.0,7,control
19,control,23441.751371886872,-4237.0047560732455,7,control
20,stress,42293.360191135274,18851.608819248402,7,control
21,baseline,8090.858923996584,0.0,18,control
22,control,12949.255535547552,4858.396611550968,18,control
23,stress,10081.87082259582,-2867.3847129517326,18,control
24,baseline,4956.304442712393,0.0,5,control
25,control,7990.886374929605,3034.581932217212,5,control
26,stress,6142.701870277858,-1848.1845046517474,5,control
27,baseline,27029.959887751735,0.0,10,experiment
28,experiment,25853.085978522307,-1176.8739092294272,10,experiment
29,stress,19682.169754571703,-6170.916223950604,10,experiment
30,baseline,7901.174305555555,0.0,8,experiment
31,experiment,9638.14558605951,1736.9712805039553,8,experiment
32,stress,9479.571240593774,-158.57434546573677,8,experiment
33,baseline,23660.70942812983,0.0,14,experiment
34,experiment,21214.631237868638,-2446.0781902611925,14,experiment
35,stress,22808.75550372371,1594.1242658550727,14,experiment
36,baseline,8977.501372826358,0.0,2,experiment
37,experiment,13473.415734135704,4495.914361309346,2,experiment
38,stress,12732.58022804749,-740.8355060882132,2,experiment
39,baseline,23208.065080051925,0.0,13,control
40,control,23022.933947669335,-185.1311323825903,13,control
41,stress,26543.628866835526,3520.6949191661915,13,control
42,baseline,15139.052798220093,0.0,12,control
43,control,17304.107547920674,2165.054749700581,12,control
44,stress,17302.055642827614,-2.0519050930597587,12,control
45,baseline,9446.328090647725,0.0,20,control
46,control,10880.652750276873,1434.3246596291483,20,control
47,stress,10542.013571869216,-338.6391784076568,20,control
